category,closing_this_week,closing_this_month,closing_later,avg_days_until_close
sports,0,4,161,99.9
other,0,61,75,62.6
geopolitics,0,1,0,27.0
politics,0,0,169,692.4
crypto,0,1,3,98.5
tech,0,4,4,118.3
