category,total_markets,total_volume,total_volume_24hr,avg_liquidity,avg_vol_liq_ratio,high_volume_markets
politics,177,1703614964.45,16778482.14,541410.41,18.584,124
sports,165,705145227.04,14691755.06,394600.46,19.305,97
other,142,444815118.88,5803373.18,173987.07,26.9987,57
tech,9,62192986.74,429953.61,163578.18,41.6174,5
crypto,6,22817946.57,271643.76,179621.32,45.4847,3
geopolitics,1,119434.16,907.81,26286.53,4.5436,0
